gpa,skills,interest_area,experience_level,personality_type,availability_hours,communication_score,leadership_score,proposed_topic,topic_description,domain_interest,text_features,Group_ID,Group_Size
3.5,Penetration Testing,Cybersecurity,Intermediate,Extrovert,18,3,5,Gesture Recognition Management Dashboard,Prototypes a cutting-edge computer vision application using emerging technologies.,Computer Vision,Penetration Testing Cybersecurity Intermediate Extrovert Computer Vision,78,4
3.24,"Python, Django, PostgreSQL",Frontend Design,Beginner,Ambivert,19,3,3,Smart Social Media Platform,Builds a comprehensive web application platform with user-friendly interface and advanced features.,Web Application,"Python, Django, PostgreSQL Frontend Design Beginner Ambivert Web Application",71,4
3.07,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Extrovert,17,4,5,Automated Chatbot Framework,Engineers a secure nlp solution with focus on data privacy and integrity.,NLP,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Extrovert NLP",63,4
2.93,"Java, Spring Boot, MySQL",DevOps,Intermediate,Extrovert,10,3,4,Campus Navigation Chatbot Assistant,Develops a mobile development solution for educational purposes using Java.,Mobile Development,"Java, Spring Boot, MySQL DevOps Intermediate Extrovert Mobile Development",3,4
3.06,"Swift, iOS Development",Mobile Apps,Intermediate,Extrovert,15,3,4,AI-Based Agriculture System,Creates an innovative iot application with modern technologies and best practices.,IoT,"Swift, iOS Development Mobile Apps Intermediate Extrovert IoT",29,4
3.18,"HTML, CSS, JS, PHP",Frontend Design,Beginner,Introvert,17,3,2,Smart Web Platform,Creates an innovative web development application with modern technologies and best practices.,Web Development,"HTML, CSS, JS, PHP Frontend Design Beginner Introvert Web Development",34,4
2.43,"React Native, JavaScript",Mobile Apps,Intermediate,Introvert,21,4,5,Web Analytics Platform,Constructs a robust web design framework for scalable and efficient performance.,Web Design,"React Native, JavaScript Mobile Apps Intermediate Introvert Web Design",76,4
2.88,"JavaScript, React, Node.js, MongoDB",Frontend Design,Beginner,Extrovert,20,3,2,AI-Based Student Performance System,Engineers a secure data science solution with focus on data privacy and integrity.,Data Science,"JavaScript, React, Node.js, MongoDB Frontend Design Beginner Extrovert Data Science",68,4
2.55,"HTML, CSS, JS, PHP",Frontend Design,Beginner,Extrovert,15,3,4,AI-Based AI System,Implements a ai & nlp system to solve real-world problems in academic settings.,AI & NLP,"HTML, CSS, JS, PHP Frontend Design Beginner Extrovert AI & NLP",43,4
2.75,"Python, Embedded Systems",IoT & Hardware,Beginner,Extrovert,14,3,5,Automated Network Monitoring Framework,Develops a cybersecurity solution for educational purposes using Python.,Cybersecurity,"Python, Embedded Systems IoT & Hardware Beginner Extrovert Cybersecurity",27,4
3.23,"JavaScript, React, Node.js, MongoDB",Frontend Design,Intermediate,Neutral,10,2,4,Load Balancing Management Dashboard,Constructs a robust cloud framework for scalable and efficient performance.,Cloud,"JavaScript, React, Node.js, MongoDB Frontend Design Intermediate Neutral Cloud",67,4
3.14,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Extrovert,21,3,4,Game Analytics Platform,Engineers a secure game dev solution with focus on data privacy and integrity.,Game Dev,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Extrovert Game Dev",47,4
3.14,"Unity, C#, 3D Modeling",Game Development,Beginner,Neutral,11,3,2,AR/VR Chatbot Assistant,Engineers a secure ar/vr solution with focus on data privacy and integrity.,AR/VR,"Unity, C#, 3D Modeling Game Development Beginner Neutral AR/VR",63,4
3.28,"Unity, C#, 3D Modeling",Game Development,Intermediate,Extrovert,14,3,4,Real-time Blockchain Monitor,Builds a comprehensive blockchain platform with user-friendly interface and advanced features.,Blockchain,"Unity, C#, 3D Modeling Game Development Intermediate Extrovert Blockchain",6,4
3.67,"Azure, Terraform, CI/CD",Cloud Computing,Advanced,Introvert,14,3,2,Image Classification Analytics Platform,Constructs a robust computer vision framework for scalable and efficient performance.,Computer Vision,"Azure, Terraform, CI/CD Cloud Computing Advanced Introvert Computer Vision",16,4
